Unnamed: 0,subject_id,image_name,document_type,S64.Q95.M,S64.Q95.M_marginalia,S64.Q96.M,S64.Q96.M_marginalia,S64.Q97.F,S64.Q97.C_1,S64.Q97.C_2,S64.Q97.C_3,S64.Q97.C_4,S64.Q97.C_5,S64.Q97.Full
469,15864949,2521127-16-0636.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,"Things are a little better, but not much",,"Just minor details, such as we could use a laundry system in the army. The small camps that are not near large towns have very poor entertainment. ",,,,,,"Just minor details, such as we could use a laundry system in the army. The small camps that are not near large towns have very poor entertainment."
470,15864952,2521127-16-0637.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,"One complaint I've heard probably more than anything else, is from the men who have been through a technical school and are still privates, while the men now coming from technical schools are given ratings on completion of their courses. Some of these men have had a good deal of experience, why should a man with no practical experience be rated higher?",,,,,,"One complaint I've heard probably more than anything else, is from the men who have been through a technical school and are still privates, while the men now coming from technical schools are given ratings on completion of their courses. Some of these men have had a good deal of experience, why should a man with no practical experience be rated higher?"
471,15864955,2521127-16-0638.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,Discipline too lax. A lack of good non-commissioned officers and junior officers. ,,,,,,Discipline too lax. A lack of good non-commissioned officers and junior officers.
472,"15864957, 15864960","2521127-16-0639.jpg, 2521127-16-0640.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,"The army is the biggest waster of money - it is even worse than [the] W.P.A [Works Progress Administration] . They seem to go around this war-time camp trying to make [up] jobs for civilians to [too] much [many] improvements - such as curbs & planting trees, etc. [paragraph] The war dept. [department] should let the Air Corp [Air Corps] run its self [itself] as it is now the civilians [who] control it - sub depots & depots - a army mechanic",can't even get in the depots hardly to get some work done on account of civilian guards. All of us mechanics that are in the air corp should get a chance to do that type of work - in fact it should be done by us - we'd probably do much better work in less time and wouldn't be expecting time and a half and these jack leg civilian workers. More planes are unnecessary grounded from waiting for depot repair work that should be turned out much quicker.,,,,,"The army is the biggest waster of money - it is even worse than [the] W.P.A [Works Progress Administration] . They seem to go around this war-time camp trying to make [up] jobs for civilians to [too] much [many] improvements - such as curbs & planting trees, etc. [paragraph] The war dept. [department] should let the Air Corp [Air Corps] run its self [itself] as it is now the civilians [who] control it - sub depots & depots - a army mechanic can't even get in the depots hardly to get some work done on account of civilian guards. All of us mechanics that are in the air corp should get a chance to do that type of work - in fact it should be done by us - we'd probably do much better work in less time and wouldn't be expecting time and a half and these jack leg civilian workers. More planes are unnecessary grounded from waiting for depot repair work that should be turned out much quicker."
473,15864963,2521127-16-0641.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",Other/No answer,Only been in camp five days. ,"Things are a little better, but not much",,The thing that bothers me more than anything is the red tape you have to go through to get anything done. Another thing is the way they wash cadets out. For just the slightest thing. Also another thing is that we have to pretend like we're busy even though we not. We're getting paid by the month not the hr[hour] .,,,,,,The thing that bothers me more than anything is the red tape you have to go through to get anything done. Another thing is the way they wash cadets out. For just the slightest thing. Also another thing is that we have to pretend like we're busy even though we not. We're getting paid by the month not the hr[hour] .
474,"15864965, 15864966","2521127-16-0642.jpg, 2521127-16-0643.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,I don't see any difference,,"One thing I dislike is getting an order one minute and then being told to do the opposite a minute later. Another thing I dislike is having to look hurry all the time. If they give me something to do and do it well in a short time, I shouldn't be made to sweep walks or some other equally useless job. ","I'm willing to work hard for ten hours a day if the work is constructive and interesting. I don't like [unclear] [/unclear] work or work given out of spite. Just punishment is all right but I don't like to get punished for not showering when I only have ten minutes to wash, get dressed, and make my bed. ",,,,,"One thing I dislike is getting an order one minute and then being told to do the opposite a minute later. Another thing I dislike is having to look hurry all the time. If they give me something to do and do it well in a short time, I shouldn't be made to sweep walks or some other equally useless job.  I'm willing to work hard for ten hours a day if the work is constructive and interesting. I don't like [unclear] [/unclear] work or work given out of spite. Just punishment is all right but I don't like to get punished for not showering when I only have ten minutes to wash, get dressed, and make my bed."
475,15864970,2521127-16-0644.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,I don't see any difference,,I am dissatisfied with conditions at this base as I think that all possible steps to relieve some bad conditions are not being taken.,,,,,,I am dissatisfied with conditions at this base as I think that all possible steps to relieve some bad conditions are not being taken.
476,15864973,2521127-16-0645.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,"Things are a little better, but not much",,Stop calisthenics for certain branches. Move outfit from Drew Field. USO dance are sorry. No girls. Why has 3 Air Force not sending any outfit accross [across] .,,,,,,Stop calisthenics for certain branches. Move outfit from Drew Field. USO dance are sorry. No girls. Why has 3 Air Force not sending any outfit accross [across] .
477,15864977,2521127-16-0646.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,The U.S. waited till the last minute to build her army which makes it poorly runed. It seems that the draftees are getting better jobs than the enlistees. The more training this Army gets that fighters there's be and the quicker the war will end. ,,,,,,The U.S. waited till the last minute to build her army which makes it poorly runed. It seems that the draftees are getting better jobs than the enlistees. The more training this Army gets that fighters there's be and the quicker the war will end.
478,15864980,2521127-16-0647.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,I don't see any difference,,To keep up a soldiers moral nothing is better than being treated like a human being and also to have his furlough every six month if at all possible. Which in lots of cases is sorely neglected. After all we are human too. ,,,,,,To keep up a soldiers moral nothing is better than being treated like a human being and also to have his furlough every six month if at all possible. Which in lots of cases is sorely neglected. After all we are human too.
479,15864983,2521127-16-0648.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",Have had 8-8day passes in 8 years 1-5 day in 15 day & 1-20 day furlough.,I don't see any difference,,It has come to my attention that the Med [Medical} corps men are not geting [getting] a fair deal especially in the Air Craft Warning Units. In some cases instead of leting [letting] the proper member of Medical men go on furlough their names were crossed off the list and Signal Corps men went in their places. This was because Medical Men are not liked in the army and they have a Signal Corps Officer for a C.O. [Commanding Officer] and in a case like this they can not [cannot] be blamed for going A.W.O.l. [absent without leave] ,,,,,,It has come to my attention that the Med [Medical} corps men are not geting [getting] a fair deal especially in the Air Craft Warning Units. In some cases instead of leting [letting] the proper member of Medical men go on furlough their names were crossed off the list and Signal Corps men went in their places. This was because Medical Men are not liked in the army and they have a Signal Corps Officer for a C.O. [Commanding Officer] and in a case like this they can not [cannot] be blamed for going A.W.O.l. [absent without leave]
480,15864990,2521127-16-0649.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,I want to stay in the army while the war is going on but would like or rather be out when it is over. [paragraph] I like home better than the army and there is a very few that doesn't.,,,,,,I want to stay in the army while the war is going on but would like or rather be out when it is over. [paragraph] I like home better than the army and there is a very few that doesn't.
481,15864991,2521127-16-0650.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a lot worse,,"I have been in the army 3 months and I like it alright, but I really feel that I could do more good towards winning this war if I could go back home to farm for my Father, since my two brothers and I have been drafted and he has nobody to work for him.",,,,,,"I have been in the army 3 months and I like it alright, but I really feel that I could do more good towards winning this war if I could go back home to farm for my Father, since my two brothers and I have been drafted and he has nobody to work for him."
482,15864994,2521127-16-0651.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,[circle] 26 [/circle] I contributed more in one week in my former defense job than I have had the opportunity to do in the army for the entire time. [paragraph] Have not been given much of an opportunity to allow anything and denied everything I asked for and generally got a raw deal. [paragraph] There is no morale at Drew Field. ,,,,,,[circle] 26 [/circle] I contributed more in one week in my former defense job than I have had the opportunity to do in the army for the entire time. [paragraph] Have not been given much of an opportunity to allow anything and denied everything I asked for and generally got a raw deal. [paragraph] There is no morale at Drew Field.
483,15864996,2521127-16-0652.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,mother is alone with brothers wife.,There should be a regulation for men getting releases to go home and run their farms.,,,,,,There should be a regulation for men getting releases to go home and run their farms.
484,15864997,2521127-16-0653.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,To many soldiers pay or bonus nose [knows] there [their] way into getting ratings. This should be looked into & stopped. When ever a stripe is to be handed out I think they should be given [insertion] an [/insertion] exams. To many morons are [unclear] lyts [/unclear] others.,,,,,,To many soldiers pay or bonus nose [knows] there [their] way into getting ratings. This should be looked into & stopped. When ever a stripe is to be handed out I think they should be given [insertion] an [/insertion] exams. To many morons are [unclear] lyts [/unclear] others.
485,15864999,2521127-16-0654.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",Could have had more furloughs but never asked for them.,Things are a lot better,except for war time restrictions.,In many cases a person cannot completely give is opinion in the first several questions on this questionior {questionnaire] . A check in the proper places which best fitted him is to short and without further comment almost the reverse of his personal ideas would be viewed or passed on.,,,,,,In many cases a person cannot completely give is opinion in the first several questions on this questionior {questionnaire] . A check in the proper places which best fitted him is to short and without further comment almost the reverse of his personal ideas would be viewed or passed on.
486,15865002,2521127-16-0655.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,"My position in army is in Base Administrative Inspectors office and in the course of my duties such as auditing funds, I have occasion to note the ineptitude of many officers who have no knowledge of bookkeeping methods and yet are placed in positions requiring such knowledge. This feature of the army bothers me, that men recently inducted find it almost impossible to attend O.C.S. while there are as many inefficient products of that school now assigned. I feel that a man with an IQ of 150 or better should be given opportunity to advance",,,,,,"My position in army is in Base Administrative Inspectors office and in the course of my duties such as auditing funds, I have occasion to note the ineptitude of many officers who have no knowledge of bookkeeping methods and yet are placed in positions requiring such knowledge. This feature of the army bothers me, that men recently inducted find it almost impossible to attend O.C.S. while there are as many inefficient products of that school now assigned. I feel that a man with an IQ of 150 or better should be given opportunity to advance"
487,"15865005, 15865010","2521127-16-0656.jpg, 2521127-16-0657.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","No, I have not had my fair share of either furloughs or passes",,"Things are a little better, but not much",,"I think each man should be checked more often by an army doctor if there is something wrong with them. And I think that we should have much better cooks then we have at the present, some time it [insertion] is [/insertion] terrible most of us can't even get it. The only time we get a good meal is when we go out of camp. And that maybe once a week and sometime [unclear] [/unclear] ","I think is long is we stay here in this country, we should have a little more recreation then we are getting. some time I think our Company commander is pretty darn selfish about not leting [letting] us out on passes when we don't have any thing special. It seems to me he thinks only of him self and no others some time I wonder if he knows that we men instead of dogs. that's just the way we are treated sometime -",,,,,"I think each man should be checked more often by an army doctor if there is something wrong with them. And I think that we should have much better cooks then we have at the present, some time it [insertion] is [/insertion] terrible most of us can't even get it. The only time we get a good meal is when we go out of camp. And that maybe once a week and sometime [unclear] [/unclear]  I think is long is we stay here in this country, we should have a little more recreation then we are getting. some time I think our Company commander is pretty darn selfish about not leting [letting] us out on passes when we don't have any thing special. It seems to me he thinks only of him self and no others some time I wonder if he knows that we men instead of dogs. that's just the way we are treated sometime -"
488,15865012,2521127-16-0658.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,The relationship between the officers and enlisted men is very poor. The enlisted men seem to dislike the officers so much they will not put into a thing all they have got. [paragraph] There is also so much red tape that it take the army too long to do anything. [paragraph] There are also many Army A.R.'s they seem so very unnecessary. ,,,,,,The relationship between the officers and enlisted men is very poor. The enlisted men seem to dislike the officers so much they will not put into a thing all they have got. [paragraph] There is also so much red tape that it take the army too long to do anything. [paragraph] There are also many Army A.R.'s they seem so very unnecessary.
489,15865015,2521127-16-0659.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a lot worse,,The army has taken all the farmers away from many farms. All my brothers are in the service. I think at least one of us should have been left to work on the farm,,,,,,The army has taken all the farmers away from many farms. All my brothers are in the service. I think at least one of us should have been left to work on the farm
490,"15865018, 15865022","2521127-16-0660.jpg, 2521127-16-0661.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of furloughs but not passes,,Things are a lot worse,,"The food is very bad. It is not the fault of the cooks all the times. I know they can't cook a good meal if they don't get the food to cook with. [paragraph] To go on sick call is just a joke. They tell you what is wrong with you the first time and when you go back for the same thing, they tell you something else is wrong with you. They think everybody",is Gold Bricking.,,,,,"The food is very bad. It is not the fault of the cooks all the times. I know they can't cook a good meal if they don't get the food to cook with. [paragraph] To go on sick call is just a joke. They tell you what is wrong with you the first time and when you go back for the same thing, they tell you something else is wrong with you. They think everybody is Gold Bricking."
491,"15865026, 15865028","2521127-16-0662.jpg, 2521127-16-0663.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of furloughs but not passes,,"Things are a little better, but not much",,"In my opinion Medical officers should not be put in command of any tactical unit. They are dissatisfied with administration & don't seem to be able to learn how to ""soldier"" in the short time period they are given when entering the service. MSC officers would understand the problems much better. I have found this true in more than 3 Div's I have been in.","Also the gap 'tween officers & EM should not be so wide. Officers shouldn't have so many privledges over the EM they should eat the same ""chow"" & ""crap"" in the same latrine. NCOs should have some special schooling & not have to ""pick up"" so many pointers on trng, handling of men, ect [etc] . NCOs should also be given a freer hand in the running of his org. There should be more trng of the type that inspires the men to want to do better. To much of the present system kills their interest. They soon get in the habit of their officers of the ""pass the buck""! All officers are looked up to but should be better trained for their jobs than they are at present. In general the officers & EM are not concentrating thourghly enough on the job we all have to do. If given a good chance in an org I'm interested in I could be a much better soldier than I am.",,,,,"In my opinion Medical officers should not be put in command of any tactical unit. They are dissatisfied with administration & don't seem to be able to learn how to ""soldier"" in the short time period they are given when entering the service. MSC officers would understand the problems much better. I have found this true in more than 3 Div's I have been in. Also the gap 'tween officers & EM should not be so wide. Officers shouldn't have so many privledges over the EM they should eat the same ""chow"" & ""crap"" in the same latrine. NCOs should have some special schooling & not have to ""pick up"" so many pointers on trng, handling of men, ect [etc] . NCOs should also be given a freer hand in the running of his org. There should be more trng of the type that inspires the men to want to do better. To much of the present system kills their interest. They soon get in the habit of their officers of the ""pass the buck""! All officers are looked up to but should be better trained for their jobs than they are at present. In general the officers & EM are not concentrating thourghly enough on the job we all have to do. If given a good chance in an org I'm interested in I could be a much better soldier than I am."
492,"15865032, 15865036","2521127-16-0664.jpg, 2521127-16-0665.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of furloughs but not passes,,Things are a little worse,,"I helped support my Mother and now she gets very little from me only $37.00 from the Army. So isn't enough, after all we are giving up the best years of our life and strength on life and we would fight and cooperate much better if we knew our families were well taken care of.","& it isn't how much you know to get any place in the Army, it is who you know and that isn't fair to us. Also all men are supposed to be treated equal, why do some non coms and officers feel so superior to us. Especially those 90 day wonders. If they take a disliking to us, we haven't a chance in the world to get any place. Also to much of our time in the Army is wasted and the way I understand things time is very essential during War times. I don't understand why they ship men from the eastern part of the states to the western parts and the men from the west to the east. They would work much better if closer to home while training in the States.",,,,,"I helped support my Mother and now she gets very little from me only $37.00 from the Army. So isn't enough, after all we are giving up the best years of our life and strength on life and we would fight and cooperate much better if we knew our families were well taken care of. & it isn't how much you know to get any place in the Army, it is who you know and that isn't fair to us. Also all men are supposed to be treated equal, why do some non coms and officers feel so superior to us. Especially those 90 day wonders. If they take a disliking to us, we haven't a chance in the world to get any place. Also to much of our time in the Army is wasted and the way I understand things time is very essential during War times. I don't understand why they ship men from the eastern part of the states to the western parts and the men from the west to the east. They would work much better if closer to home while training in the States."
493,15865039,2521127-16-0666.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,The reason I say things are worse for family. I lived on farm and helped my parents who are to old to carry on when I left and they can not get help to operate the farm. Therefore makes it harder for them.,,,,,,The reason I say things are worse for family. I lived on farm and helped my parents who are to old to carry on when I left and they can not get help to operate the farm. Therefore makes it harder for them.
494,"15865044, 15865046","2521127-16-0667.jpg, 2521127-16-0668.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,To many officers don't know as much as the enlisted men under them. Men do not have the facilities to keep neat & clean. The problem of cleaning and pressing uniforms is too great. I think every soldier should appear very respectful and neat. He does not have a chance thru lack of proper tailoring & cleaning shops. Too many soldiers run around with saggy uniforms due to this fact.,"84-B. Too much time is taken fooling with small unimportant things. Inspections marking clothing. Moving dirt & then putting it back. The men should actually be taught how to kill & not be killed. [paragraph] 97 - The soldier is expected to have too many little items not issued. He has a hard time to get them at times. [paragraph] Above all, there is far too much red tape to every procedure. We will win this war by fighting and not on paper. [paragraph] Many men loose their lives because of lack of speed in aiding him when he is injured. By the time a dozen different know nothings get his life history a man will die, who could have been saved if treated first & questioned later. [paragraph] There is too much personal feeling in distribution of ratings. Too many men with [unclear] suction [/unclear] carry the stripes.",,,,,"To many officers don't know as much as the enlisted men under them. Men do not have the facilities to keep neat & clean. The problem of cleaning and pressing uniforms is too great. I think every soldier should appear very respectful and neat. He does not have a chance thru lack of proper tailoring & cleaning shops. Too many soldiers run around with saggy uniforms due to this fact. 84-B. Too much time is taken fooling with small unimportant things. Inspections marking clothing. Moving dirt & then putting it back. The men should actually be taught how to kill & not be killed. [paragraph] 97 - The soldier is expected to have too many little items not issued. He has a hard time to get them at times. [paragraph] Above all, there is far too much red tape to every procedure. We will win this war by fighting and not on paper. [paragraph] Many men loose their lives because of lack of speed in aiding him when he is injured. By the time a dozen different know nothings get his life history a man will die, who could have been saved if treated first & questioned later. [paragraph] There is too much personal feeling in distribution of ratings. Too many men with [unclear] suction [/unclear] carry the stripes."
495,15865050,2521127-16-0669.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a lot worse,,"I think that we need better training than we have had. We have had poor training since I came into the army they are to lazy to get lost in these little problems that we have had in the past, the [unclear] [/unclear] feel [unclear] [/unclear] put around here an that not helping us put feeling a bit.",,,,,,"I think that we need better training than we have had. We have had poor training since I came into the army they are to lazy to get lost in these little problems that we have had in the past, the [unclear] [/unclear] feel [unclear] [/unclear] put around here an that not helping us put feeling a bit."
496,"15865052, 15865055","2521127-16-0670.jpg, 2521127-16-0671.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,"The officers (most of them) tell us to think not of ourselves, but of our fellow EM (and our officers) but the most of them think only of their own comfort and to hell with the EM. We do a job well - they get credit and didn't even come around and take part or give instructions. You don't get promoted around here because you're qualified, but ","because you've sucked around your CO. And why the hell should the officers sleep on air mattresses (on bivouac) & us on the ground. They're no better than we. That is opposite of our principles of democracy. My CO couldn't buy the gas for my packard on the wages he made as a civilian (we checked on his wages) & yet he thinks he's so damned superior to each of us, it's pitiful. All our adjutant thinks about is prosecuting some poor devil who made a mistake & went AWOL, or spoke an honest opinion in a non military manner. In my opinion he'll be a coward in battle. He looks it. He'd never get through OCS the way they've made it harder the last few months. The Bn CO is an arrogant person, who admits he couldn't perform even an appendectomy, yet he's CO of a Medical Bn.",,,,,"The officers (most of them) tell us to think not of ourselves, but of our fellow EM (and our officers) but the most of them think only of their own comfort and to hell with the EM. We do a job well - they get credit and didn't even come around and take part or give instructions. You don't get promoted around here because you're qualified, but  because you've sucked around your CO. And why the hell should the officers sleep on air mattresses (on bivouac) & us on the ground. They're no better than we. That is opposite of our principles of democracy. My CO couldn't buy the gas for my packard on the wages he made as a civilian (we checked on his wages) & yet he thinks he's so damned superior to each of us, it's pitiful. All our adjutant thinks about is prosecuting some poor devil who made a mistake & went AWOL, or spoke an honest opinion in a non military manner. In my opinion he'll be a coward in battle. He looks it. He'd never get through OCS the way they've made it harder the last few months. The Bn CO is an arrogant person, who admits he couldn't perform even an appendectomy, yet he's CO of a Medical Bn."
497,15865058,2521127-16-0672.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,"96 [circled] Two of us are in the army and we both were the main support, that made it tough on the rest of the family, now the rest have to live on fathers earnings 4 all total",,,,,,"96 [circled] Two of us are in the army and we both were the main support, that made it tough on the rest of the family, now the rest have to live on fathers earnings 4 all total"
498,15865059,2521127-16-0673.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a lot worse,,I think if a person is intelligent enough he should have the privilege to transfer. I would lot rather be in the Air Corps. We are not given a chance. ,,,,,,I think if a person is intelligent enough he should have the privilege to transfer. I would lot rather be in the Air Corps. We are not given a chance.
499,"15865062, 15865064","2521127-16-0674.jpg, 2521127-16-0675.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","No, I have not had my fair share of either furloughs or passes",,Things are a little worse,,The army should do something about eliminating details for combat units. By losing time in this way we hinder the war effort and lose valuable time in training. We may even at times find ourselves with only one army corps in the field where if training had not been held up by details we would have 2 or more. Details as I understand are given to teach the soldier to obey the will of his appointed leader. But due to modern education he resents them and they cause a lowering of his morale. His psychological reaction affects the ,"majority subconsciously other than consciously and reduces his possible potentialities of work or effort. Transfers should be mad more easier than they are at present., Men who are in some branch or unit their dislike cannot do their best under these conditions. Take over the war industries and prevent discontent after the war between the army with its fifty dollars pay and defense industry with its large union last even after taxation. Complete unity of industry and the war department would hasten victory.",,,,,"The army should do something about eliminating details for combat units. By losing time in this way we hinder the war effort and lose valuable time in training. We may even at times find ourselves with only one army corps in the field where if training had not been held up by details we would have 2 or more. Details as I understand are given to teach the soldier to obey the will of his appointed leader. But due to modern education he resents them and they cause a lowering of his morale. His psychological reaction affects the  majority subconsciously other than consciously and reduces his possible potentialities of work or effort. Transfers should be mad more easier than they are at present., Men who are in some branch or unit their dislike cannot do their best under these conditions. Take over the war industries and prevent discontent after the war between the army with its fifty dollars pay and defense industry with its large union last even after taxation. Complete unity of industry and the war department would hasten victory."
500,15865067,2521127-16-0676.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a little worse,,I would like to be in the U.S. Marines now. Because I have two boy friends in there. And doing their part. ,,,,,,I would like to be in the U.S. Marines now. Because I have two boy friends in there. And doing their part.
501,15865070,2521127-16-0677.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a little worse,,"In regard to passes. Many men are given class ""A"" passes. I believe either all or none should have them. They should be taken away from the men who disobey the rules but a whole group should not suffer for a few.",,,,,,"In regard to passes. Many men are given class ""A"" passes. I believe either all or none should have them. They should be taken away from the men who disobey the rules but a whole group should not suffer for a few."
502,"15865073, 15865075","2521127-16-0678.jpg, 2521127-16-0679.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,I have been in the army for nine months but I still don't think I have been trained good enough to go across soon. But I think they should give us more time to get trained to go across in ,I think the army is ok except that when there are any Ratings open the men whom the officers likes is the man who gets the Rating whether he deserves it or not cause sometimes the officer does not know enough about the army himself & I also don't believe the Sergeants should cuss their men and threaten to hit them.,,,,,I have been in the army for nine months but I still don't think I have been trained good enough to go across soon. But I think they should give us more time to get trained to go across in  I think the army is ok except that when there are any Ratings open the men whom the officers likes is the man who gets the Rating whether he deserves it or not cause sometimes the officer does not know enough about the army himself & I also don't believe the Sergeants should cuss their men and threaten to hit them.
503,"15865077, 15865080","2521127-16-0680.jpg, 2521127-16-0681.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,As I am a member of the army I am doing my best in this [unclear] [/unclear] and fighting however I feel I could do better if I were backing helping on the farm as my dad is trying his best to operate a 1400 [insertion] acre [/insertion] ranch plus 100 to 150 head cattle About 10 percent of the land in that surrounding community is idle because the farmers cant get help to culivate the land and,produce the crops that will help win the war.,,,,,As I am a member of the army I am doing my best in this [unclear] [/unclear] and fighting however I feel I could do better if I were backing helping on the farm as my dad is trying his best to operate a 1400 [insertion] acre [/insertion] ranch plus 100 to 150 head cattle About 10 percent of the land in that surrounding community is idle because the farmers cant get help to culivate the land and produce the crops that will help win the war.
504,15865084,2521127-16-0682.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,"I personally think the army isn't a bad place to be in, if given the job you are best suited for. I am disgusted with it because I haven't been put in the proper branch and haven't had a furlough for 9 months. I don't think the arm is giving the soldiers full medical attention as many of them need.",,,,,,"I personally think the army isn't a bad place to be in, if given the job you are best suited for. I am disgusted with it because I haven't been put in the proper branch and haven't had a furlough for 9 months. I don't think the arm is giving the soldiers full medical attention as many of them need."
505,15865086,2521127-16-0683.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,"Rating in the army, are not rated by ability, most of it is gotten by boot licking. There is too much prejudice based on Religion, race, nativity, etc. One would think this army was built to fight each other, instead of a common foe. Some get everything others none, when benefits are to be had. The fighting man, is not treated well enough by the civilian population",,,,,,"Rating in the army, are not rated by ability, most of it is gotten by boot licking. There is too much prejudice based on Religion, race, nativity, etc. One would think this army was built to fight each other, instead of a common foe. Some get everything others none, when benefits are to be had. The fighting man, is not treated well enough by the civilian population"
506,"15865090, 15865094","2521127-16-0684.jpg, 2521127-16-0685.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,"Ratings in the army, are not rated by ability, most of it is gotten by boot licking. There is too much prejudice based on religion, race, nativity, etc. One would think this army was built to fight each other, instead of a common foe. Some get everything others none when benefits are to be had. The fighting man is not treated well enough by the civilian population ","I have not received a furlough yet, and can not possibly get one for another 4 months. I was withheld from an embarkation pt. because doctors disagreed I was perfectly fit to go. Nothing has been done for me, and if our outfit were to leave oversees today, I would most surely be accepted to go. There is no system at all at embarkation points. My outfit was shipped across after 13 weeks of basic training while other outfits stay here indefinitely. I don't think we should ever have limited service. Either a man be fit for general service, or not accepted at all. A civilian or woman can take their place. I never should be in a combat outfit. I have a heart murmer, and I weigh 114 pounds. I find it tough to do any hard physical labor. The M. Drs just shrug it off, and treat me like I was afraid, or did not want to work. They are the ones who most surely are not fair.",,,,,"Ratings in the army, are not rated by ability, most of it is gotten by boot licking. There is too much prejudice based on religion, race, nativity, etc. One would think this army was built to fight each other, instead of a common foe. Some get everything others none when benefits are to be had. The fighting man is not treated well enough by the civilian population  I have not received a furlough yet, and can not possibly get one for another 4 months. I was withheld from an embarkation pt. because doctors disagreed I was perfectly fit to go. Nothing has been done for me, and if our outfit were to leave oversees today, I would most surely be accepted to go. There is no system at all at embarkation points. My outfit was shipped across after 13 weeks of basic training while other outfits stay here indefinitely. I don't think we should ever have limited service. Either a man be fit for general service, or not accepted at all. A civilian or woman can take their place. I never should be in a combat outfit. I have a heart murmer, and I weigh 114 pounds. I find it tough to do any hard physical labor. The M. Drs just shrug it off, and treat me like I was afraid, or did not want to work. They are the ones who most surely are not fair."
