,Zooniverse tag,Expert correspondance,similarity
3041,responsibilities,opinions,[[0.89149266]]
1322,foods,food,[[0.8914157]]
1178,extremes,aggression,[[0.8913655]]
539,camp,headquarters,[[0.8911274]]
3484,tankdestroyer,armytalks,[[0.89107597]]
1386,fulough,furloughs,[[0.8908484]]
3922,workorientated,jobturnover,[[0.8907982]]
3012,relocation,censorship,[[0.8907565]]
2555,oversight,rotation,[[0.8906975]]
140,ambition,aggression,[[0.89067286]]
455,bootlicker,jobturnover,[[0.8906405]]
1805,jobchoice,jobturnover,[[0.89061904]]
3674,uniform,headquarters,[[0.8905556]]
2133,milk,food,[[0.8904887]]
1568,hawaii,alaska,[[0.89048564]]
2452,officeofdependencybenefits,branchofservice,[[0.89045566]]
3277,sneak,ups,[[0.8903086]]
3795,wardepartment,jobevluation,[[0.8901398]]
3265,slavery,aggression,[[0.89011514]]
3314,soldiersspouses,soldierdeposits,[[0.89009094]]
3053,retirment,reassignment,[[0.8900873]]
1987,longhours,chilhood,[[0.88990617]]
630,civilengineering,militarypolice,[[0.8898558]]
1740,inspection,training,[[0.8898534]]
3295,soldier,soldierdeposits,[[0.8898488]]
3891,wire,rotation,[[0.8896854]]
367,behavior,rotation,[[0.88967013]]
759,complaining,rotation,[[0.88965005]]
2874,questions,opinions,[[0.8895434]]
3480,talents,aggression,[[0.8895247]]
1872,latepay,basenewspapers,[[0.88951534]]
1526,guardduty,baseunits,[[0.8894745]]
3136,savemoney,jobevluation,[[0.8894525]]
3185,separated,racial,[[0.8894411]]
2186,morals,aggression,[[0.889435]]
103,airborne,orientation,[[0.8893883]]
776,confession,aggression,[[0.8893067]]
3354,stability,efficiency,[[0.88927233]]
794,continuation,orientation,[[0.8892709]]
2464,officersneedtotryit,officertraining,[[0.88921785]]
1810,jobinhand,jobevluation,[[0.8891883]]
3192,seriousness,aggression,[[0.88913995]]
1249,feelings,enemies,[[0.88904035]]
3625,truth,aggression,[[0.88900834]]
2912,radios,headquarters,[[0.88896745]]
2962,reconstruction,evaluation,[[0.8888736]]
1632,hospital,hospitalfacilities,[[0.8888485]]
2585,passabill,jobevluation,[[0.8888333]]
3629,unable,rotation,[[0.88882154]]
783,confusing,aggression,[[0.8886223]]
1537,handicap,orientation,[[0.88859034]]
740,commissioning,training,[[0.88848853]]
3419,struggles,aggression,[[0.88843304]]
2457,officerhate,soldierdeposits,[[0.8883182]]
2822,prolongedservice,furtherservice,[[0.8882983]]
3418,struggle,aggression,[[0.8882912]]
1329,foreignaffairs,foreignpolicy,[[0.888276]]
1538,handicapped,orientation,[[0.8882375]]
569,castesystem,jobsatisfaction,[[0.8881822]]
1895,learning,training,[[0.88816136]]
2750,praise,aggression,[[0.88793486]]
2080,medicalrecords,medicaldispensaries,[[0.88790303]]
727,commanding,duty,[[0.88782686]]
3618,trouble,mess,[[0.8878033]]
193,apprenticeship,training,[[0.8878024]]
3412,strike,rotation,[[0.8877791]]
2000,lowjobsatisfaction,jobevluation,[[0.88762057]]
979,dissatisfaction,orientation,[[0.88749766]]
1108,enlist,ups,[[0.8874565]]
2526,organization,training,[[0.88745195]]
789,considerations,opinions,[[0.88743794]]
552,capabilities,efficiency,[[0.8873769]]
2801,privilege,duty,[[0.88728184]]
3823,warworker,warweek,[[0.8872788]]
1036,drought,rotation,[[0.88722396]]
1246,feelingalone,livingconditions,[[0.8871037]]
3472,tactics,combat,[[0.8870928]]
307,authority,headquarters,[[0.88708335]]
1770,inventory,supplies,[[0.8870768]]
1233,fathersinwar,prideinoutfit,[[0.88706607]]
1773,investing,training,[[0.88704956]]
1798,jews,blacks,[[0.8870426]]
3749,vernacular,orientation,[[0.886987]]
2911,radiooperator,baseunits,[[0.8868786]]
1196,fairness,efficiency,[[0.8868555]]
3739,vague,brief,[[0.8867848]]
2302,newsetup,newsmaps,[[0.8867358]]
578,centralpacific,pacifictoughness,[[0.88669074]]
3146,schoolchoice,hospitalfacilities,[[0.8866868]]
73,advertising,business,[[0.88650465]]
1559,harvest,training,[[0.88648856]]
2994,reinforcements,headquarters,[[0.88642573]]
989,diversity,efficiency,[[0.8863855]]
1333,foreignlands,overseascombat,[[0.8863777]]
3376,stationed,ups,[[0.88626444]]
935,disabilities,attitudes,[[0.8862158]]
1645,humble,rotation,[[0.88616973]]
3290,socks,clothing,[[0.88613665]]
2212,motivated,racial,[[0.88610744]]
601,chemical,chemicalwarfare,[[0.8860767]]
3045,restricted,racial,[[0.886068]]
3181,sensibleanswer,attitudetowardengland,[[0.8860564]]
2990,regulation,discipline,[[0.8860344]]
1336,foreignsoil,foreignpolicy,[[0.8859697]]
713,combatstars,armytalks,[[0.8858994]]
1976,local,localcivilians,[[0.885849]]
1888,leaderissues,leadershi,[[0.88576925]]
127,aliens,enemies,[[0.88575935]]
903,depressed,orientation,[[0.8857231]]
3206,settle,ups,[[0.8857217]]
2861,qualityoflife,lengthofservice,[[0.885696]]
2183,moraleboost,prideinoutfit,[[0.8856264]]
3164,selective,adjustment,[[0.8856031]]
2270,neighbors,racial,[[0.88555086]]
2868,questionable,mess,[[0.88554895]]
47,able,ups,[[0.8854738]]
719,comeback,orientation,[[0.8854664]]
2821,project,sectioncief,[[0.88543]]
2679,policychanges,politicalviews,[[0.8853304]]
1657,ideas,opinions,[[0.885322]]
3258,skills,training,[[0.8852506]]
2699,poorpay,jobevluation,[[0.8852136]]
3581,transfer,conversion,[[0.88518703]]
983,distance,aggression,[[0.88514787]]
2550,overseas,overseascombat,[[0.88507956]]
3558,toughbreak,heavybombardmentgroups,[[0.8850614]]
3644,understanding,rotation,[[0.88496196]]
3317,solidersvalue,specialservices,[[0.8849225]]
2463,officerschool,officertraining,[[0.8848293]]
3240,signalcorps,strategicbombing,[[0.88476634]]
2505,operations,headquarters,[[0.8847475]]
2871,questioning,racial,[[0.8847424]]
3460,surveying,evaluation,[[0.8846787]]
1328,foreign,foreignpolicy,[[0.88464004]]
2770,prevention,censorship,[[0.8846251]]
3611,troopsupport,moraleprogram,[[0.8844852]]
835,criticism,opinions,[[0.8842866]]
3098,rushed,mess,[[0.8842811]]
3023,representation,evaluation,[[0.88426936]]
2317,nickel,orientation,[[0.8841662]]
863,decent,ups,[[0.88415194]]
3280,sob,mess,[[0.8841315]]
3372,statement,orientation,[[0.88412625]]
1399,futuregenerations,strategicbombing,[[0.88401926]]
3677,uniformstandards,jobsatisfaction,[[0.8839915]]
837,crowded,mess,[[0.88397956]]
1489,governmentassistance,militarypolice,[[0.8839011]]
665,classwar,attitudetowardengland,[[0.8838234]]
3331,southernstates,pacifictoughness,[[0.8836272]]
1741,inspections,evaluation,[[0.883563]]
1969,living,livingconditions,[[0.8835367]]
3716,upbringing,aggression,[[0.883533]]
725,commander,headquarters,[[0.88351154]]
636,civilianclothes,soldierdeposits,[[0.88348687]]
2388,northernfield,redcross,[[0.883415]]
280,assignment,training,[[0.88337934]]
1206,families,headquarters,[[0.8833623]]
638,civilianjob,soldierdeposits,[[0.88330066]]
639,civilianjobs,soldierdeposits,[[0.88330066]]
781,conflict,combat,[[0.8832784]]
1879,laws,rules,[[0.8832692]]
580,chainofcommand,branchofservice,[[0.8831056]]
3915,working,training,[[0.88310367]]
3819,wartime,postwar,[[0.8830922]]
2101,merchantmarines,armytalks,[[0.88304764]]
3283,socialevents,politicalviews,[[0.88301563]]
3312,soldiersleaving,soldierdeposits,[[0.88296926]]
1019,drafted,draft,[[0.8829688]]
3344,speedbump,heavybombardmentgroups,[[0.8828976]]
3313,soldiersofcolor,soldierdeposits,[[0.8828964]]
811,corruption,censorship,[[0.8827957]]
1212,familyprovider,moraleprogram,[[0.8827174]]
1172,experts,opinions,[[0.8826966]]
1095,enemy,enemies,[[0.88263977]]
1208,familyawol,homefront,[[0.88263756]]
3768,visiondefect,strategicbombing,[[0.88259596]]
3224,shippingspace,strategicbombing,[[0.8825817]]
2849,purpose,duty,[[0.88256055]]
3494,teaching,training,[[0.8825215]]
1702,indifferent,adjustment,[[0.88248104]]
2334,nodefiniteplans,branchofservice,[[0.8823756]]
2248,nazigermany,germanradio,[[0.8823439]]
2025,makemeanofficer,basenewspapers,[[0.8823225]]
802,convenience,racial,[[0.8823005]]
3577,trainingreform,moraleprogram,[[0.882071]]
3578,trainingreformneeded,moraleprogram,[[0.882071]]
1112,enlistedmorale,enlisted,[[0.88206244]]
542,campcooke,aficourses,[[0.8820338]]
1923,liability,rotation,[[0.88202244]]
2739,postwarthoughts,postwarexpections,[[0.88192]]
1398,futurefamily,strategicbombing,[[0.8818681]]
1438,gigantic,racial,[[0.88186204]]
500,brotherhood,orientation,[[0.88184774]]
590,changeinthearmy,leadershi,[[0.88184243]]
1749,integration,evaluation,[[0.8817513]]
1734,injustice,duty,[[0.8816984]]
1874,latetotheparty,basenewspapers,[[0.8816793]]
3450,supplydepot,baseunits,[[0.8816217]]
897,dependent,racial,[[0.8815816]]
3800,warfare,combat,[[0.881565]]
3854,weight,rotation,[[0.8815222]]
1402,futureoccupation,strategicbombing,[[0.88151956]]
2805,privileges,opinions,[[0.8815022]]
283,assimilation,orientation,[[0.881275]]
2860,quality,efficiency,[[0.8812732]]
933,directions,orientation,[[0.8812578]]
449,bombs,enemies,[[0.8812573]]
3463,survival,aggression,[[0.88106215]]
628,civilanlife,physicalfitness,[[0.8810357]]
357,battleready,warindustries,[[0.8810228]]
1406,futurework,strategicbombing,[[0.88101816]]
683,coffee,food,[[0.8810108]]
1706,induction,rotation,[[0.8810041]]
1225,fashion,training,[[0.88099706]]
664,classsystem,confidenceinship,[[0.8809881]]
445,boating,recreation,[[0.88094914]]
3109,safereturn,jobevluation,[[0.8809235]]
986,distress,aggression,[[0.8808971]]
2756,predictions,opinions,[[0.880849]]
203,army_life,armyliving,[[0.8807888]]
1213,familytime,homefront,[[0.8806808]]
1750,intellectstandards,confidenceintroops,[[0.88053083]]
430,blackofficers,billeting,[[0.8804525]]
356,battle,combat,[[0.880437]]
2139,minimal,orientation,[[0.8804256]]
3711,unsure,brief,[[0.8803934]]
3006,religioninwar,politicalviews,[[0.88032895]]
953,discontent,rotation,[[0.8803005]]
3602,treatment,treatmentofpows,[[0.8802046]]
3834,wasteoftime,opinionoftomorrow,[[0.8801842]]
2185,morality,orientation,[[0.88015723]]
1884,lazy,rotation,[[0.88014853]]
2866,question57,jobpreference,[[0.88011855]]
1259,fighterpilot,armytalks,[[0.88006824]]
2915,raids,training,[[0.8799973]]
1908,legalopportunities,politicalviews,[[0.8799538]]
336,badservice,heavybombardmentgroups,[[0.8799363]]
881,delayed,rotation,[[0.8798922]]
1533,gunuse,jobevluation,[[0.8798817]]
2223,movingout,workingwithcivilians,[[0.87974596]]
2057,massproduction,moraleprogram,[[0.8797369]]
3256,skilled,ups,[[0.87971884]]
1671,impatience,aggression,[[0.879652]]
3546,tolerance,adjustment,[[0.87962246]]
3490,taxmoney,redistributionstations,[[0.8795453]]
563,careersoldier,businessownership,[[0.879475]]
2980,reform,efficiency,[[0.8793918]]
2392,nosunshine,jobevluation,[[0.87938046]]
3643,undercoveroperative,armytalks,[[0.87937295]]
608,child,children,[[0.8793524]]
1302,flexibleplans,strategicbombing,[[0.8792344]]
1354,fortressgunner,moraleprogram,[[0.87921166]]
1586,heroes,enemies,[[0.8791785]]
3309,soldiers,headquarters,[[0.87915593]]
3843,weareallhuman,jobevluation,[[0.87912357]]
2443,occupation,conscription,[[0.8790758]]
338,balance,morale,[[0.8790738]]
1383,frustrated,aggression,[[0.8790399]]
2476,oilindustry,chemicalwarfare,[[0.87900674]]
2996,rejection,aggression,[[0.8790032]]
1618,hometown,name,[[0.87890667]]
3221,shellshock,starsandstripes,[[0.87885845]]
1321,foodrations,food,[[0.8788178]]
2462,officersabovesoldiers,soldierdeposits,[[0.8787414]]
1880,lawschool,jobsatisfaction,[[0.87872493]]
172,animosity,prideinoutfit,[[0.87869525]]
1247,feelingfine,livingconditions,[[0.8786477]]
2836,proudtoserve,soldierdeposits,[[0.8786421]]
1265,fightingfortoolong,warweek,[[0.8786299]]
1761,internship,training,[[0.8786122]]
2768,prestige,efficiency,[[0.87855446]]
2780,pricecontrols,strategicbombing,[[0.8785444]]
3350,spoiled,racial,[[0.87853074]]
3473,tags,ups,[[0.8784685]]
691,colored,racial,[[0.87837493]]
963,disgrace,ups,[[0.87834406]]
92,agegap,basenewspapers,[[0.8783393]]
1629,hopes,racial,[[0.8783144]]
767,concern,aggression,[[0.8782426]]
470,brains,efficiency,[[0.8782207]]
3458,surplus,orientation,[[0.87816477]]
409,bias,censorship,[[0.8780094]]
1582,helpful,racial,[[0.8779038]]
804,cooking,training,[[0.87787104]]
1882,layoff,timeoff,[[0.8778353]]
1673,importance,orientation,[[0.87778723]]
994,doctor,doctors,[[0.8777741]]
2221,movingaround,livingconditions,[[0.877715]]
3683,unit,headquarters,[[0.8776976]]
139,amallbusiness,jobevluation,[[0.8776954]]
3270,slide,orientation,[[0.8776011]]
2742,postworldwar,strategicbombing,[[0.87759507]]
1211,familyman,specialservices,[[0.8775936]]
429,blacknowhite,heavybombardmentgroups,[[0.8775293]]
1519,grow,rotation,[[0.8775152]]
915,detail,efficiency,[[0.8775146]]
1695,indepedence,reccenters,[[0.8774497]]
3343,specialunits,sectioncief,[[0.8774117]]
2781,prices,opinions,[[0.87740594]]
164,ammunitioncompany,moraleprogram,[[0.8773832]]
2975,reduction,efficiency,[[0.87734413]]
2650,placementbureau,separationcenters,[[0.8772985]]
3561,tourofduty,branchofservice,[[0.87720543]]
3359,stale,rotation,[[0.8771701]]
1072,ego,aggression,[[0.87715393]]
902,depot,headquarters,[[0.87714696]]
2919,raise,ups,[[0.87714475]]
2905,radical,rotation,[[0.8770766]]
2408,notforme,noncoms,[[0.8770721]]
2444,occupationchange,censorship,[[0.87701887]]
3336,specialduty,specialservices,[[0.8770179]]
1068,effectsofwar,treatmentofpows,[[0.87697107]]
2732,postwarjobs,postwarexpections,[[0.8769236]]
2731,postwarjob,postwarexpections,[[0.8769236]]
2678,policing,combat,[[0.8768486]]
3741,valuabletime,moraleprogram,[[0.87681186]]
412,bigego,heavybombardmentgroups,[[0.8768111]]
1315,focusedonfuture,workingwithcivilians,[[0.87678635]]
1407,futureworries,strategicbombing,[[0.87678355]]
122,alcohol,food,[[0.8767353]]
3898,wives,ups,[[0.8767131]]
2713,post,postexchanges,[[0.87664545]]
3345,spelling,rotation,[[0.8766389]]
3351,spontaneous,rotation,[[0.8766025]]
3477,takingiteasy,livingconditions,[[0.8765909]]
1839,justicedepartment,separationcenters,[[0.87651366]]
1337,foreigntrade,foreignpolicy,[[0.8764863]]
3020,replacementcenters,separationcenters,[[0.8764222]]
3019,replacementcenter,separationcenters,[[0.8764222]]
3894,wisdom,aggression,[[0.8764062]]
2786,priorities,headquarters,[[0.87634766]]
285,assurance,aggression,[[0.8763392]]
55,accountability,morale,[[0.87628937]]
3268,sleepdeprived,soldierdeposits,[[0.8762319]]
3632,uncertain,brief,[[0.87621546]]
568,caring,aggression,[[0.8761497]]
654,civillian,militarypolice,[[0.8761095]]
1028,drill,training,[[0.87600356]]
831,credit,savings,[[0.8759516]]
2048,marital,racial,[[0.8758668]]
3589,transportationcorps,strategicbombing,[[0.8758468]]
3911,workforce,combat,[[0.87584615]]
1355,fortsheridan,leadershi,[[0.8758296]]
3425,study,training,[[0.8758269]]
2031,makingpreparations,livingconditions,[[0.8758013]]
2829,propaganda,censorship,[[0.87580085]]
201,armedservices,soldierdeposits,[[0.8757697]]
3400,storehours,jobturnover,[[0.8757382]]
3516,the,rotation,[[0.87570167]]
1991,longwar,warfinformation,[[0.87569344]]
3847,wecandoit,usintheworld,[[0.87552124]]
1853,killing,aggression,[[0.8754909]]
1922,letters,opinions,[[0.87548023]]
3445,supervision,evaluation,[[0.8754574]]
50,abroad,overseascombat,[[0.8753611]]
923,dictatorship,censorship,[[0.87532216]]
1778,irreleventjobs,reccenters,[[0.8753085]]
3281,sober,orientation,[[0.8752022]]
3391,stenotypy,basenewspapers,[[0.87510157]]
3405,strategy,evaluation,[[0.8751013]]
3919,workinthearmy,jobturnover,[[0.8750726]]
1932,lifeafterdischarge,livingconditions,[[0.8750557]]
1931,lifeafter,livingconditions,[[0.8750557]]
1933,lifeafterranks,livingconditions,[[0.8750557]]
1934,lifeafterthewar,livingconditions,[[0.8750557]]
1935,lifeafterwar,livingconditions,[[0.8750557]]
2992,rehab,rotation,[[0.8750392]]
1218,farmboy,armytalks,[[0.87491965]]
632,civilian,civilians,[[0.87491655]]
3072,rewards,enemies,[[0.8749041]]
2719,postmilitary,postexchanges,[[0.8748695]]
3856,welfare,morale,[[0.87482464]]
1509,greedy,yank,[[0.87474006]]
634,civilianarmy,militarypolice,[[0.8747292]]
1030,drinking,training,[[0.87472564]]
3740,valuable,orientation,[[0.8747239]]
337,badtraining,heavybombardmentgroups,[[0.8747237]]
1925,liberated,postwar,[[0.8747172]]
507,buckpassing,redcross,[[0.87471503]]
1495,governmentwork,politicalviews,[[0.87471354]]
3481,talking,aggression,[[0.87463593]]
1314,focused,training,[[0.8746239]]
760,complaint,orientation,[[0.8745968]]
1325,footsoldiers,jobturnover,[[0.87457025]]
1361,franchise,headquarters,[[0.87455547]]
516,bureaucracy,censorship,[[0.87453055]]
3063,returningtothestates,returnees,[[0.8745283]]
2623,perspective,opinions,[[0.87445164]]
1980,logisitics,billeting,[[0.87442243]]
1423,get,ups,[[0.87437445]]
480,bribery,censorship,[[0.8743501]]
2982,regimentation,separationcenters,[[0.874329]]
3286,socialplans,physicalfitness,[[0.87430525]]
54,accomplishment,ups,[[0.87427187]]
3764,violations,rules,[[0.8742524]]
1873,laterhours,furtherservice,[[0.87418544]]
1210,familyfirst,physicalfitness,[[0.8740647]]
3433,suffering,aggression,[[0.87405324]]
2647,pipedreams,soldierdeposits,[[0.87404716]]
1892,leading,orientation,[[0.8740325]]
739,commissionedpersonnel,servicepersonnel,[[0.8739066]]
2680,policysuggestions,politicalviews,[[0.87382984]]
3437,suicidemission,separationcenters,[[0.87380034]]
1714,ineptofficers,reccenters,[[0.8737962]]
3501,technicians,training,[[0.87374866]]
1113,enlistedrights,armytalks,[[0.8736557]]
1946,lifeskills,businessownership,[[0.87363565]]
3608,trials,training,[[0.87363154]]
2707,position,orientation,[[0.87361455]]
3338,specialization,orientation,[[0.87355405]]
3574,trained,training,[[0.8735455]]
3346,spending,duty,[[0.8735337]]
3872,whitesoldier,jobsatisfaction,[[0.8735002]]
3873,whitesoldiers,jobsatisfaction,[[0.8735002]]
850,dangerous,aggression,[[0.8734912]]
1494,governmenttime,jobsatisfaction,[[0.87347496]]
2147,miscommunications,noncoms,[[0.873464]]
1665,ignorant,blacks,[[0.87344193]]
252,armyregulations,armyliving,[[0.87332225]]
2560,ownbusiness,baseunits,[[0.87324464]]
2319,nightmare,mess,[[0.8732411]]
637,civilianemployees,soldierdeposits,[[0.87306815]]
3736,vacation,orientation,[[0.87305236]]
987,distrust,aggression,[[0.87305176]]
1320,foodprofessionals,medicalcare,[[0.8730289]]
1744,instructions,supplies,[[0.8730134]]
1779,irritated,aggression,[[0.8728777]]
330,badmanagment,jobevluation,[[0.8728303]]
44,abbreviation,orientation,[[0.8727853]]
2906,radio,headquarters,[[0.87265754]]
3254,skeptical,rotation,[[0.87261313]]
612,chilren,chilhood,[[0.87241584]]
1672,impatient,aggression,[[0.8724115]]
2610,pearlharbor,armytalks,[[0.87225986]]
2993,rehabilitation,evaluation,[[0.87223226]]
3861,wewantseasonaluniforms,usintheworld,[[0.87221014]]
2144,minorityrights,strategicbombing,[[0.87215984]]
1680,improvingthearmy,treatmentofpows,[[0.87215155]]
3436,suicide,censorship,[[0.872136]]
3021,replacementdepot,baseunits,[[0.87212044]]
198,arguable,aficourses,[[0.8720902]]
1035,driving,training,[[0.87208545]]
1304,flightpersonnel,moraleprogram,[[0.87206995]]
321,backtowork,forwardareas,[[0.8720398]]
59,activeduty,strategicbombing,[[0.8720188]]
3217,sexrelationships,sexcontact,[[0.87187403]]
1042,duplicate,orientation,[[0.87183446]]
1745,instructor,training,[[0.87180024]]
3827,waste,food,[[0.8717765]]
3401,stores,magazines,[[0.87174493]]
417,bigplans,heavybombardmentgroups,[[0.87174356]]
2104,meritocracy,reccenters,[[0.8717367]]
1096,energetic,orientation,[[0.87171865]]
756,competition,discipline,[[0.87165177]]
295,atmosphere,aggression,[[0.87164074]]
1762,interracial,postexchanges,[[0.871621]]
3420,struggling,training,[[0.87159586]]
574,cavalryrulesinfantrydrools,armyliving,[[0.8715922]]
3002,releasingoldermen,workingwithcivilians,[[0.87157637]]
2330,nocivilians,aficourses,[[0.8714573]]
707,combateffective,combatstress,[[0.87145364]]
2606,peace,food,[[0.87139994]]
1313,flyingstatus,soldierdeposits,[[0.8713372]]
2419,notnicesouth,usintheworld,[[0.87133276]]
771,concerns,opinions,[[0.87133]]
2978,reenlistment,jobevluation,[[0.87128913]]
2977,reenlisting,jobevluation,[[0.87128913]]
2976,reenlist,jobevluation,[[0.87128913]]
715,combattraining,armytalks,[[0.87125146]]
1637,hostilities,combat,[[0.8712487]]
934,dirtyuniform,heavybombardmentgroups,[[0.8712472]]
1492,governmentplan,militarypolice,[[0.8712325]]
1311,flyinghours,starsandstripes,[[0.87118757]]
951,discharging,reccenters,[[0.87116843]]
2799,privatesopinion,strategicbombing,[[0.8711487]]
3702,unpopularregulations,enemyatrocities,[[0.871148]]
3272,smalldetails,heavybombardmentgroups,[[0.8711321]]
2705,portofembarkation,basenewspapers,[[0.8710964]]
2901,racist,segregation,[[0.87103945]]
1569,hayfever,furloughs,[[0.8710168]]
1056,eating,food,[[0.8710084]]
98,agitation,aggression,[[0.8710058]]
741,commissioningprocess,moraleprogram,[[0.87096804]]
464,bothered,racial,[[0.87088037]]
655,civilrights,chemicalwarfare,[[0.8708242]]
3512,thankful,aggression,[[0.8708005]]
1107,enjoyment,aggression,[[0.8707837]]
156,americanprograms,britishpapers,[[0.87069964]]
1440,girights,furloughs,[[0.8706546]]
1348,fortbelvoir,baseunits,[[0.8706133]]
1451,global,strategicbombing,[[0.8706087]]
949,dischargeme,baseunits,[[0.87060696]]
2843,publicfunds,politicalviews,[[0.8705551]]
2629,phones,food,[[0.87054545]]
1403,futureoriented,politicalviews,[[0.8704857]]
57,aceinthesky,basenewspapers,[[0.8704609]]
2036,malingering,furloughs,[[0.8704547]]
3600,treated,racial,[[0.87041014]]
3926,worldwar,homefront,[[0.87040114]]
3927,worldwar1,homefront,[[0.87040114]]
3928,worldwar2soldier,homefront,[[0.87040114]]
3030,research,publications,[[0.8703532]]
1018,draftdodgers,soldierdeposits,[[0.87029684]]
1619,hometownboy,homefront,[[0.8702496]]
2940,readiness,orientation,[[0.8701465]]
3929,worldwarii,homefront,[[0.8701285]]
3930,worldwariisolider,homefront,[[0.8701285]]
3318,solidplans,physicalfitness,[[0.8701258]]
2164,missloveones,usintheworld,[[0.870078]]
1201,falseadvertising,enemyatrocities,[[0.87001073]]
1641,housing,training,[[0.8699424]]
1310,flying,training,[[0.869871]]
1542,hangar,headquarters,[[0.8698508]]
629,civilcontrol,chemicalwarfare,[[0.86980283]]
1207,family,headquarters,[[0.86978996]]
77,aeronautics,rotation,[[0.8697788]]
2287,newgoals,strategicbombing,[[0.8697667]]
1447,givesusachance,transferaccountplan,[[0.86971885]]
3557,tough,ups,[[0.8697139]]
2215,moveon,strategicbombing,[[0.86963034]]
3771,vitalissues,basenewspapers,[[0.86962664]]
190,appreciation,evaluation,[[0.8696208]]
2991,regulations,discipline,[[0.8695745]]
829,crackshot,jobsatisfaction,[[0.8695687]]
809,corpsarea,armyscorecardplan,[[0.86954665]]
2757,preference,adjustment,[[0.8695432]]
1644,humane,rotation,[[0.86951447]]
946,dischargebound,separationcenters,[[0.8694941]]
916,details,information,[[0.86944187]]
2851,purposeofthewar,opinionoftomorrow,[[0.8694322]]
3125,sanantonio,prideinoutfit,[[0.86941886]]
1525,guard,duty,[[0.86934364]]
3592,trapped,headquarters,[[0.8693002]]
3141,scared,aggression,[[0.86929613]]
3701,unpopularopinion,postwaropportunities,[[0.86927426]]
162,americathegreat,pacifictoughness,[[0.8692339]]
3110,safteyengineering,furloughs,[[0.86919236]]
1547,harassment,rotation,[[0.8691844]]
947,discharged,racial,[[0.86918306]]
3728,useless,aggression,[[0.86911494]]
3914,workhours,jobpreference,[[0.86910903]]
2619,personalgrowth,militarypolice,[[0.869099]]
1232,fatherservingww2,leadershi,[[0.86906815]]
1912,lendlease,furloughs,[[0.8690553]]
2833,prostitution,censorship,[[0.8690307]]
3226,shipyard,orientation,[[0.86902356]]
329,badleadership,heavybombardmentgroups,[[0.86901796]]
724,command,duty,[[0.86900806]]
2952,realsoliders,physicalfitness,[[0.86880356]]
1981,logistics,business,[[0.86867255]]
1264,fightingchance,livingconditions,[[0.86865425]]
1263,fighting,training,[[0.86865175]]
1830,joke,mess,[[0.8686365]]
3596,traveler,adjustment,[[0.86859095]]
3492,taxreturns,separationcenters,[[0.8685343]]
547,campshelby,armytalks,[[0.8685308]]
658,civilwar,chemicalwarfare,[[0.86851156]]
3203,servicetocountry,baseunits,[[0.86850375]]
1860,laborfront,jobsatisfaction,[[0.86847675]]
3742,vehicles,clothing,[[0.8684538]]
2393,nosurvival,reccenters,[[0.86842906]]
1022,drawings,orientation,[[0.8684189]]
3417,strongopinion,heavybombardmentgroups,[[0.8684082]]
1720,infantrymen,infantry,[[0.8683609]]
3689,unittasking,prideinoutfit,[[0.86833525]]
448,bomber,orientation,[[0.8682975]]
3773,vocational,training,[[0.8682817]]
1317,food-shortages,food,[[0.86824185]]
1432,gettingajob,workingwithcivilians,[[0.8681282]]
1764,interruption,aggression,[[0.86809564]]
2311,newzealand,basenewspapers,[[0.8679883]]
1352,forthuachuca,jobevluation,[[0.86797637]]
3451,supplyroom,separationcenters,[[0.8679198]]
1595,highprices,jobturnover,[[0.8678552]]
582,challenging,rules,[[0.86782944]]
365,beer,food,[[0.8677567]]
3549,toolate,billeting,[[0.8677174]]
3252,situation,aggression,[[0.86769086]]
3402,story,rules,[[0.8676623]]
996,doctorssuck,leadershi,[[0.867652]]
3597,travelingtimeadded,timeoff,[[0.8676375]]
3571,trafficmanagement,jobsatisfaction,[[0.8676301]]
1851,kids,food,[[0.8676075]]
1948,lightduty,starsandstripes,[[0.86757314]]
1512,greendrafters,redcross,[[0.8675556]]
1351,forthepeople,jobevluation,[[0.86747676]]
2513,opinionswelcomed,opinionoftomorrow,[[0.86742455]]
2917,rainbow,headquarters,[[0.8673979]]
784,confusion,aggression,[[0.8673823]]
3568,tradework,business,[[0.86735463]]
177,anti,ups,[[0.86735225]]
2396,notasinglefellow,usintheworld,[[0.8673209]]
1944,lifeonthebase,moraleprogram,[[0.8672682]]
427,black,blacks,[[0.8672605]]
2907,radiobiz,baseunits,[[0.8672565]]
1652,hygiene,evaluation,[[0.86722213]]
350,basic,orientation,[[0.86721444]]
891,dental,dentalcare,[[0.86715895]]
3564,townspeople,racial,[[0.8671354]]
431,blackrights,armytalks,[[0.8671126]]
2820,prohibition,segregation,[[0.8670951]]
2030,makingmen,separationcenters,[[0.8670678]]
535,california,alaska,[[0.86704016]]
1909,legislation,censorship,[[0.8669917]]
1276,financial,business,[[0.86696905]]
667,cleaningduties,separationcenters,[[0.8669487]]
1787,issuewitharmy,branchofservice,[[0.8669368]]
2672,pointssystem,pointsystem,[[0.86689293]]
269,arrogance,aggression,[[0.8668649]]
2014,magazine,magazines,[[0.86685264]]
1296,fix,yank,[[0.86684644]]
3385,stayinghome,livingconditions,[[0.86680675]]
1248,feelinglucky,livingconditions,[[0.86679906]]
2532,outbuild,forwardareas,[[0.866774]]
3454,supportthetroops,confidenceinship,[[0.86667156]]
